Postcode,locality,State,Registrations as at 31 January 2022,Population,Total personal income (weekly),Income_Midpoint,Age,Age_Midpoint,Fuel Type
3170,MULGRAVE,VIC,227,1056, Total,0, 15-19 years,17.0,Battery Electric Vehicle
3170,MULGRAVE,VIC,227,1141, Total,0, 20-24 years,22.0,Battery Electric Vehicle
3170,MULGRAVE,VIC,227,2704, Total,0, 25-34 years,29.5,Battery Electric Vehicle
3170,MULGRAVE,VIC,227,2894, Total,0, 35-44 years,39.5,Battery Electric Vehicle
3170,MULGRAVE,VIC,227,2599, Total,0, 45-54 years,49.5,Battery Electric Vehicle
3170,MULGRAVE,VIC,227,2073, Total,0, 55-64 years,59.5,Battery Electric Vehicle
3170,MULGRAVE,VIC,227,1965, Total,0, 65-74 years,69.5,Battery Electric Vehicle
3170,MULGRAVE,VIC,227,1420, Total,0, 75-84 years,79.5,Battery Electric Vehicle
3170,MULGRAVE,VIC,227,519, Total,0, 85 years and over,85+,Battery Electric Vehicle
4217,BENOWA,QLD,185,1942, Total,0, 15-19 years,17.0,Battery Electric Vehicle
4217,BENOWA,QLD,185,2998, Total,0, 20-24 years,22.0,Battery Electric Vehicle
4217,BENOWA,QLD,185,7435, Total,0, 25-34 years,29.5,Battery Electric Vehicle
4217,BENOWA,QLD,185,5731, Total,0, 35-44 years,39.5,Battery Electric Vehicle
4217,BENOWA,QLD,185,5983, Total,0, 45-54 years,49.5,Battery Electric Vehicle
4217,BENOWA,QLD,185,6135, Total,0, 55-64 years,59.5,Battery Electric Vehicle
4217,BENOWA,QLD,185,5804, Total,0, 65-74 years,69.5,Battery Electric Vehicle
4217,BENOWA,QLD,185,3335, Total,0, 75-84 years,79.5,Battery Electric Vehicle
4217,BENOWA,QLD,185,849, Total,0, 85 years and over,85+,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,1347, Total,0, 15-19 years,17.0,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,2497, Total,0, 20-24 years,22.0,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,6188, Total,0, 25-34 years,29.5,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,4582, Total,0, 35-44 years,39.5,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,2876, Total,0, 45-54 years,49.5,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,2533, Total,0, 55-64 years,59.5,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,1770, Total,0, 65-74 years,69.5,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,1048, Total,0, 75-84 years,79.5,Battery Electric Vehicle
2113,BLENHEIM ROAD,NSW,180,664, Total,0, 85 years and over,85+,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,1119, Total,0, 15-19 years,17.0,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,837, Total,0, 20-24 years,22.0,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,1264, Total,0, 25-34 years,29.5,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,1698, Total,0, 35-44 years,39.5,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,2315, Total,0, 45-54 years,49.5,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,1825, Total,0, 55-64 years,59.5,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,1391, Total,0, 65-74 years,69.5,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,814, Total,0, 75-84 years,79.5,Battery Electric Vehicle
2030,DIAMOND BAY,NSW,179,428, Total,0, 85 years and over,85+,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,2658, Total,0, 15-19 years,17.0,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,1843, Total,0, 20-24 years,22.0,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,2308, Total,0, 25-34 years,29.5,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,4781, Total,0, 35-44 years,39.5,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,5709, Total,0, 45-54 years,49.5,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,4213, Total,0, 55-64 years,59.5,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,3440, Total,0, 65-74 years,69.5,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,2203, Total,0, 75-84 years,79.5,Battery Electric Vehicle
4069,BROOKFIELD,QLD,176,1015, Total,0, 85 years and over,85+,Battery Electric Vehicle
2088,MOSMAN,NSW,169,1619, Total,0, 15-19 years,17.0,Battery Electric Vehicle
4006,BOWEN BRIDGE,QLD,169,555, Total,0, 15-19 years,17.0,Battery Electric Vehicle
2088,MOSMAN,NSW,169,1346, Total,0, 20-24 years,22.0,Battery Electric Vehicle
4006,BOWEN BRIDGE,QLD,169,3428, Total,0, 20-24 years,22.0,Battery Electric Vehicle
2088,MOSMAN,NSW,169,2935, Total,0, 25-34 years,29.5,Battery Electric Vehicle
4006,BOWEN BRIDGE,QLD,169,9435, Total,0, 25-34 years,29.5,Battery Electric Vehicle
2088,MOSMAN,NSW,169,3649, Total,0, 35-44 years,39.5,Battery Electric Vehicle
4006,BOWEN BRIDGE,QLD,169,4227, Total,0, 35-44 years,39.5,Battery Electric Vehicle
2088,MOSMAN,NSW,169,4238, Total,0, 45-54 years,49.5,Battery Electric Vehicle
