Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
3170,VIC,Battery Electric Vehicle,227, $500-$649, 65-74 years,180,574.5,69.5
3170,VIC,Battery Electric Vehicle,227," $2,000-$2,999", 25-34 years,220,2499.5,29.5
3170,VIC,Battery Electric Vehicle,227," $1,500-$1,749", 75-84 years,6,1624.5,79.5
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 55-64 years,238,0,59.5
3170,VIC,Battery Electric Vehicle,227, $800-$999, 20-24 years,111,899.5,22.0
3170,VIC,Battery Electric Vehicle,227," $3,000-$3499", 65-74 years,9,3249.5,69.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 55-64 years,204,1124.5,59.5
3170,VIC,Battery Electric Vehicle,227, Not stated, 20-24 years,58,0,22.0
3170,VIC,Battery Electric Vehicle,227, $500-$649, 55-64 years,146,574.5,59.5
3170,VIC,Battery Electric Vehicle,227, Total, 85 years and over,519,0,85+
3170,VIC,Battery Electric Vehicle,227, $1-$149, 85 years and over,15,75.0,85+
3170,VIC,Battery Electric Vehicle,227, $400-$499, 25-34 years,101,449.5,29.5
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 45-54 years,160,0,49.5
3170,VIC,Battery Electric Vehicle,227, Total, 15-19 years,1056,0,17.0
3170,VIC,Battery Electric Vehicle,227, Not stated, 75-84 years,121,0,79.5
3170,VIC,Battery Electric Vehicle,227, $800-$999, 65-74 years,140,899.5,69.5
3170,VIC,Battery Electric Vehicle,227," $3,500 or more", 25-34 years,41,3500+,29.5
3170,VIC,Battery Electric Vehicle,227, $150-$299, 85 years and over,25,224.5,85+
3170,VIC,Battery Electric Vehicle,227, Not stated, 65-74 years,79,0,69.5
3170,VIC,Battery Electric Vehicle,227, $1-$149, 15-19 years,215,75.0,17.0
3170,VIC,Battery Electric Vehicle,227," $3,500 or more", 55-64 years,39,3500+,59.5
3170,VIC,Battery Electric Vehicle,227, $650-$799, 25-34 years,183,724.5,29.5
3170,VIC,Battery Electric Vehicle,227, $150-$299, 20-24 years,132,224.5,22.0
3170,VIC,Battery Electric Vehicle,227, $400-$499, 75-84 years,309,449.5,79.5
3170,VIC,Battery Electric Vehicle,227," $2,000-$2,999", 35-44 years,463,2499.5,39.5
3170,VIC,Battery Electric Vehicle,227, $500-$649, 75-84 years,136,574.5,79.5
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 75-84 years,110,0,79.5
3170,VIC,Battery Electric Vehicle,227, Total, 35-44 years,2894,0,39.5
3170,VIC,Battery Electric Vehicle,227, Not stated, 25-34 years,148,0,29.5
3170,VIC,Battery Electric Vehicle,227, $300-$399, 35-44 years,78,349.5,39.5
3170,VIC,Battery Electric Vehicle,227, Not stated, 45-54 years,123,0,49.5
3170,VIC,Battery Electric Vehicle,227, Total, 55-64 years,2073,0,59.5
3170,VIC,Battery Electric Vehicle,227, $800-$999, 85 years and over,8,899.5,85+
3170,VIC,Battery Electric Vehicle,227, $500-$649, 15-19 years,17,574.5,17.0
3170,VIC,Battery Electric Vehicle,227," $1,500-$1,749", 25-34 years,286,1624.5,29.5
3170,VIC,Battery Electric Vehicle,227," $1,750-$1,999", 20-24 years,8,1874.5,22.0
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 20-24 years,153,0,22.0
3170,VIC,Battery Electric Vehicle,227, $400-$499, 55-64 years,120,449.5,59.5
3170,VIC,Battery Electric Vehicle,227," $1,250-$1,499", 65-74 years,68,1374.5,69.5
3170,VIC,Battery Electric Vehicle,227," $3,500 or more", 75-84 years,7,3500+,79.5
3170,VIC,Battery Electric Vehicle,227, $500-$649, 25-34 years,171,574.5,29.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 25-34 years,399,1124.5,29.5
3170,VIC,Battery Electric Vehicle,227, $300-$399, 15-19 years,44,349.5,17.0
3170,VIC,Battery Electric Vehicle,227," $1,500-$1,749", 35-44 years,273,1624.5,39.5
3170,VIC,Battery Electric Vehicle,227, $500-$649, 35-44 years,116,574.5,39.5
3170,VIC,Battery Electric Vehicle,227," $1,500-$1,749", 45-54 years,223,1624.5,49.5
3170,VIC,Battery Electric Vehicle,227, Not stated, 55-64 years,82,0,59.5
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 25-34 years,169,0,29.5
3170,VIC,Battery Electric Vehicle,227, $150-$299, 45-54 years,58,224.5,49.5
3170,VIC,Battery Electric Vehicle,227, $150-$299, 25-34 years,61,224.5,29.5
3170,VIC,Battery Electric Vehicle,227," $2,000-$2,999", 65-74 years,43,2499.5,69.5
3170,VIC,Battery Electric Vehicle,227," $2,000-$2,999", 45-54 years,347,2499.5,49.5
3170,VIC,Battery Electric Vehicle,227, $800-$999, 35-44 years,232,899.5,39.5
3170,VIC,Battery Electric Vehicle,227, $800-$999, 45-54 years,211,899.5,49.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 75-84 years,34,1124.5,79.5
3170,VIC,Battery Electric Vehicle,227," $2,000-$2,999", 55-64 years,169,2499.5,59.5
3170,VIC,Battery Electric Vehicle,227," $1,250-$1,499", 20-24 years,56,1374.5,22.0
3170,VIC,Battery Electric Vehicle,227," $1,500-$1,749", 55-64 years,165,1624.5,59.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 15-19 years,3,1124.5,17.0
3170,VIC,Battery Electric Vehicle,227, $800-$999, 25-34 years,306,899.5,29.5
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 65-74 years,251,0,69.5
3170,VIC,Battery Electric Vehicle,227, Total, 65-74 years,1965,0,69.5
3170,VIC,Battery Electric Vehicle,227, $150-$299, 55-64 years,100,224.5,59.5
3170,VIC,Battery Electric Vehicle,227," $2,000-$2,999", 75-84 years,3,2499.5,79.5
3170,VIC,Battery Electric Vehicle,227," $1,500-$1,749", 85 years and over,4,1624.5,85+
3170,VIC,Battery Electric Vehicle,227," $3,500 or more", 85 years and over,3,3500+,85+
3170,VIC,Battery Electric Vehicle,227, $800-$999, 15-19 years,8,899.5,17.0
3170,VIC,Battery Electric Vehicle,227, $800-$999, 75-84 years,45,899.5,79.5
3170,VIC,Battery Electric Vehicle,227," $1,500-$1,749", 20-24 years,28,1624.5,22.0
3170,VIC,Battery Electric Vehicle,227, $500-$649, 85 years and over,49,574.5,85+
3170,VIC,Battery Electric Vehicle,227, $500-$649, 20-24 years,99,574.5,22.0
3170,VIC,Battery Electric Vehicle,227, $150-$299, 75-84 years,128,224.5,79.5
3170,VIC,Battery Electric Vehicle,227, Not stated, 35-44 years,117,0,39.5
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 85 years and over,31,0,85+
3170,VIC,Battery Electric Vehicle,227," $3,000-$3499", 45-54 years,62,3249.5,49.5
3170,VIC,Battery Electric Vehicle,227, $650-$799, 35-44 years,167,724.5,39.5
3170,VIC,Battery Electric Vehicle,227, Total, 75-84 years,1420,0,79.5
3170,VIC,Battery Electric Vehicle,227, Not stated, 85 years and over,86,0,85+
3170,VIC,Battery Electric Vehicle,227, $1-$149, 25-34 years,33,75.0,29.5
3170,VIC,Battery Electric Vehicle,227," $1,750-$1,999", 45-54 years,152,1874.5,49.5
3170,VIC,Battery Electric Vehicle,227, $400-$499, 85 years and over,202,449.5,85+
3170,VIC,Battery Electric Vehicle,227, $150-$299, 15-19 years,103,224.5,17.0
3170,VIC,Battery Electric Vehicle,227, $300-$399, 45-54 years,103,349.5,49.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 65-74 years,97,1124.5,69.5
3170,VIC,Battery Electric Vehicle,227," $3,500 or more", 35-44 years,124,3500+,39.5
3170,VIC,Battery Electric Vehicle,227, Not stated, 15-19 years,35,0,17.0
3170,VIC,Battery Electric Vehicle,227, Total, 20-24 years,1141,0,22.0
3170,VIC,Battery Electric Vehicle,227, $300-$399, 55-64 years,148,349.5,59.5
3170,VIC,Battery Electric Vehicle,227," $1,250-$1,499", 35-44 years,284,1374.5,39.5
3170,VIC,Battery Electric Vehicle,227, $400-$499, 20-24 years,95,449.5,22.0
3170,VIC,Battery Electric Vehicle,227," $1,250-$1,499", 25-34 years,298,1374.5,29.5
3170,VIC,Battery Electric Vehicle,227," $3,500 or more", 45-54 years,97,3500+,49.5
3170,VIC,Battery Electric Vehicle,227," $1,500-$1,749", 65-74 years,60,1624.5,69.5
3170,VIC,Battery Electric Vehicle,227, $500-$649, 45-54 years,158,574.5,49.5
3170,VIC,Battery Electric Vehicle,227," $1,750-$1,999", 65-74 years,25,1874.5,69.5
3170,VIC,Battery Electric Vehicle,227, $400-$499, 35-44 years,101,449.5,39.5
3170,VIC,Battery Electric Vehicle,227, $1-$149, 45-54 years,65,75.0,49.5
3170,VIC,Battery Electric Vehicle,227, $400-$499, 15-19 years,24,449.5,17.0
3170,VIC,Battery Electric Vehicle,227," $2,000-$2,999", 20-24 years,10,2499.5,22.0
3170,VIC,Battery Electric Vehicle,227," $1,250-$1,499", 75-84 years,20,1374.5,79.5
3170,VIC,Battery Electric Vehicle,227," $1,250-$1,499", 55-64 years,132,1374.5,59.5
3170,VIC,Battery Electric Vehicle,227, $300-$399, 20-24 years,119,349.5,22.0
3170,VIC,Battery Electric Vehicle,227," $3,000-$3499", 55-64 years,38,3249.5,59.5
3170,VIC,Battery Electric Vehicle,227, $150-$299, 65-74 years,176,224.5,69.5
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 15-19 years,587,0,17.0
3170,VIC,Battery Electric Vehicle,227, $650-$799, 45-54 years,189,724.5,49.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 35-44 years,294,1124.5,39.5
3170,VIC,Battery Electric Vehicle,227, $150-$299, 35-44 years,65,224.5,39.5
3170,VIC,Battery Electric Vehicle,227," $3,000-$3499", 35-44 years,124,3249.5,39.5
3170,VIC,Battery Electric Vehicle,227, $650-$799, 75-84 years,106,724.5,79.5
3170,VIC,Battery Electric Vehicle,227, $300-$399, 75-84 years,345,349.5,79.5
3170,VIC,Battery Electric Vehicle,227, $1-$149, 65-74 years,84,75.0,69.5
3170,VIC,Battery Electric Vehicle,227, $650-$799, 65-74 years,147,724.5,69.5
3170,VIC,Battery Electric Vehicle,227," $3,000-$3499", 25-34 years,36,3249.5,29.5
3170,VIC,Battery Electric Vehicle,227, $1-$149, 55-64 years,66,75.0,59.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 20-24 years,105,1124.5,22.0
3170,VIC,Battery Electric Vehicle,227, $300-$399, 85 years and over,65,349.5,85+
3170,VIC,Battery Electric Vehicle,227, $800-$999, 55-64 years,175,899.5,59.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 85 years and over,8,1124.5,85+
3170,VIC,Battery Electric Vehicle,227," $1,750-$1,999", 25-34 years,174,1874.5,29.5
3170,VIC,Battery Electric Vehicle,227, $650-$799, 20-24 years,100,724.5,22.0
3170,VIC,Battery Electric Vehicle,227, $650-$799, 85 years and over,26,724.5,85+
3170,VIC,Battery Electric Vehicle,227, $650-$799, 15-19 years,16,724.5,17.0
3170,VIC,Battery Electric Vehicle,227, $1-$149, 75-84 years,37,75.0,79.5
3170,VIC,Battery Electric Vehicle,227, $300-$399, 65-74 years,343,349.5,69.5
3170,VIC,Battery Electric Vehicle,227, $650-$799, 55-64 years,140,724.5,59.5
3170,VIC,Battery Electric Vehicle,227, Total, 25-34 years,2704,0,29.5
3170,VIC,Battery Electric Vehicle,227, Negative/Nil income, 35-44 years,184,0,39.5
3170,VIC,Battery Electric Vehicle,227," $1,250-$1,499", 85 years and over,3,1374.5,85+
3170,VIC,Battery Electric Vehicle,227," $3,500 or more", 65-74 years,18,3500+,69.5
3170,VIC,Battery Electric Vehicle,227," $1,750-$1,999", 35-44 years,228,1874.5,39.5
3170,VIC,Battery Electric Vehicle,227," $1,250-$1,499", 45-54 years,247,1374.5,49.5
3170,VIC,Battery Electric Vehicle,227, $1-$149, 20-24 years,68,75.0,22.0
3170,VIC,Battery Electric Vehicle,227, $400-$499, 45-54 years,111,449.5,49.5
3170,VIC,Battery Electric Vehicle,227," $1,750-$1,999", 75-84 years,8,1874.5,79.5
3170,VIC,Battery Electric Vehicle,227," $1,000-$1,249", 45-54 years,284,1124.5,49.5
3170,VIC,Battery Electric Vehicle,227, $400-$499, 65-74 years,253,449.5,69.5
3170,VIC,Battery Electric Vehicle,227, $300-$399, 25-34 years,82,349.5,29.5
3170,VIC,Battery Electric Vehicle,227, Total, 45-54 years,2599,0,49.5
3170,VIC,Battery Electric Vehicle,227," $1,750-$1,999", 55-64 years,106,1874.5,59.5
3170,VIC,Battery Electric Vehicle,227, $1-$149, 35-44 years,36,75.0,39.5
4217,QLD,Battery Electric Vehicle,185, $400-$499, 45-54 years,248,449.5,49.5
4217,QLD,Battery Electric Vehicle,185, Total, 35-44 years,5731,0,39.5
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 35-44 years,380,1624.5,39.5
4217,QLD,Battery Electric Vehicle,185, Not stated, 45-54 years,635,0,49.5
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 20-24 years,174,0,22.0
4217,QLD,Battery Electric Vehicle,185, $300-$399, 15-19 years,101,349.5,17.0
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 25-34 years,366,1624.5,29.5
4217,QLD,Battery Electric Vehicle,185, $400-$499, 55-64 years,305,449.5,59.5
4217,QLD,Battery Electric Vehicle,185, $500-$649, 85 years and over,99,574.5,85+
4217,QLD,Battery Electric Vehicle,185," $1,000-$1,249", 25-34 years,903,1124.5,29.5
4217,QLD,Battery Electric Vehicle,185," $1,750-$1,999", 65-74 years,158,1874.5,69.5
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 75-84 years,190,0,79.5
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 85 years and over,12,3500+,85+
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 65-74 years,235,1374.5,69.5
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 15-19 years,9,3500+,17.0
4217,QLD,Battery Electric Vehicle,185, $500-$649, 20-24 years,355,574.5,22.0
4217,QLD,Battery Electric Vehicle,185, Not stated, 35-44 years,682,0,39.5
4217,QLD,Battery Electric Vehicle,185, $500-$649, 15-19 years,76,574.5,17.0
4217,QLD,Battery Electric Vehicle,185, $150-$299, 45-54 years,143,224.5,49.5
4217,QLD,Battery Electric Vehicle,185," $3,500 or more", 55-64 years,386,3500+,59.5
4217,QLD,Battery Electric Vehicle,185, $500-$649, 35-44 years,350,574.5,39.5
4217,QLD,Battery Electric Vehicle,185," $2,000-$2,999", 65-74 years,259,2499.5,69.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 65-74 years,360,899.5,69.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 20-24 years,124,1374.5,22.0
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 75-84 years,93,1624.5,79.5
4217,QLD,Battery Electric Vehicle,185," $1,250-$1,499", 35-44 years,428,1374.5,39.5
4217,QLD,Battery Electric Vehicle,185," $3,000-$3499", 20-24 years,9,3249.5,22.0
4217,QLD,Battery Electric Vehicle,185, $150-$299, 25-34 years,138,224.5,29.5
4217,QLD,Battery Electric Vehicle,185, $800-$999, 45-54 years,558,899.5,49.5
4217,QLD,Battery Electric Vehicle,185," $1,500-$1,749", 55-64 years,369,1624.5,59.5
4217,QLD,Battery Electric Vehicle,185, Total, 85 years and over,849,0,85+
4217,QLD,Battery Electric Vehicle,185, $400-$499, 20-24 years,256,449.5,22.0
4217,QLD,Battery Electric Vehicle,185, $300-$399, 65-74 years,642,349.5,69.5
4217,QLD,Battery Electric Vehicle,185, Not stated, 75-84 years,380,0,79.5
4217,QLD,Battery Electric Vehicle,185, Negative/Nil income, 45-54 years,350,0,49.5
