Postcode,State,Fuel Type,Registrations as at 31 January 2021,Registrations as at 31 January 2022,Registrations as at 31 January 2023
800,NT,Internal Combustion Engine,6780,7318,7089
800,NT,Battery Electric Vehicle,3,3,12
800,NT,Hydrogen Cell Vehicle,0,0,0
800,NT,Hybrid,131,411,402
810,NT,Internal Combustion Engine,21870,22092,21890
810,NT,Battery Electric Vehicle,6,16,22
810,NT,Hydrogen Cell Vehicle,0,0,0
810,NT,Hybrid,288,375,467
812,NT,Internal Combustion Engine,11925,11845,11742
812,NT,Battery Electric Vehicle,3,5,14
812,NT,Hydrogen Cell Vehicle,0,0,0
812,NT,Hybrid,125,161,219
820,NT,Internal Combustion Engine,19921,19804,20445
820,NT,Battery Electric Vehicle,11,18,45
820,NT,Hydrogen Cell Vehicle,0,0,0
820,NT,Hybrid,267,358,723
822,NT,Internal Combustion Engine,6408,6262,6408
822,NT,Battery Electric Vehicle,0,3,3
822,NT,Hydrogen Cell Vehicle,0,0,0
822,NT,Hybrid,24,37,41
828,NT,Internal Combustion Engine,3738,3896,3979
828,NT,Battery Electric Vehicle,0,3,7
828,NT,Hydrogen Cell Vehicle,0,0,0
828,NT,Hybrid,29,56,93
829,NT,Internal Combustion Engine,1499,1598,1731
829,NT,Battery Electric Vehicle,0,0,3
829,NT,Hydrogen Cell Vehicle,0,0,0
829,NT,Hybrid,15,25,44
830,NT,Internal Combustion Engine,12056,11943,11842
830,NT,Battery Electric Vehicle,0,3,10
830,NT,Hydrogen Cell Vehicle,0,0,0
830,NT,Hybrid,84,130,190
832,NT,Internal Combustion Engine,11442,11655,11935
832,NT,Battery Electric Vehicle,0,4,7
832,NT,Hydrogen Cell Vehicle,0,0,0
832,NT,Hybrid,102,161,220
834,NT,Internal Combustion Engine,1490,1486,1557
834,NT,Battery Electric Vehicle,0,0,4
834,NT,Hydrogen Cell Vehicle,0,0,0
834,NT,Hybrid,8,12,18
835,NT,Internal Combustion Engine,2900,2879,2876
835,NT,Battery Electric Vehicle,0,0,3
835,NT,Hydrogen Cell Vehicle,0,0,0
835,NT,Hybrid,21,28,34
836,NT,Internal Combustion Engine,6656,6924,7092
836,NT,Battery Electric Vehicle,3,3,4
836,NT,Hydrogen Cell Vehicle,0,0,0
836,NT,Hybrid,30,53,76
