Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4000,QLD,Hybrid,2511," $3,500 or more", 35-44 years,255,3500+,39.5
4000,QLD,Hybrid,2511, $800-$999, 15-19 years,21,899.5,17.0
4000,QLD,Hybrid,2511, Negative/Nil income, 45-54 years,125,0,49.5
4000,QLD,Hybrid,2511," $1,750-$1,999", 45-54 years,127,1874.5,49.5
4000,QLD,Hybrid,2511," $2,000-$2,999", 85 years and over,4,2499.5,85+
4000,QLD,Hybrid,2511, $400-$499, 20-24 years,250,449.5,22.0
4000,QLD,Hybrid,2511, Total, 15-19 years,1093,0,17.0
4000,QLD,Hybrid,2511, $800-$999, 20-24 years,294,899.5,22.0
4000,QLD,Hybrid,2511," $1,250-$1,499", 20-24 years,157,1374.5,22.0
4000,QLD,Hybrid,2511," $2,000-$2,999", 25-34 years,491,2499.5,29.5
4000,QLD,Hybrid,2511," $3,500 or more", 25-34 years,92,3500+,29.5
4000,QLD,Hybrid,2511, $150-$299, 75-84 years,13,224.5,79.5
4000,QLD,Hybrid,2511," $1,000-$1,249", 45-54 years,136,1124.5,49.5
4000,QLD,Hybrid,2511, $300-$399, 35-44 years,122,349.5,39.5
4000,QLD,Hybrid,2511, $400-$499, 75-84 years,55,449.5,79.5
4000,QLD,Hybrid,2511," $1,000-$1,249", 55-64 years,115,1124.5,59.5
4000,QLD,Hybrid,2511, Total, 65-74 years,1091,0,69.5
4000,QLD,Hybrid,2511," $3,000-$3499", 65-74 years,38,3249.5,69.5
4000,QLD,Hybrid,2511," $3,500 or more", 55-64 years,252,3500+,59.5
4000,QLD,Hybrid,2511, $1-$149, 15-19 years,133,75.0,17.0
4000,QLD,Hybrid,2511, Total, 55-64 years,1718,0,59.5
4000,QLD,Hybrid,2511," $1,750-$1,999", 65-74 years,47,1874.5,69.5
4000,QLD,Hybrid,2511, Total, 85 years and over,98,0,85+
4000,QLD,Hybrid,2511, $650-$799, 45-54 years,67,724.5,49.5
4000,QLD,Hybrid,2511, $300-$399, 65-74 years,69,349.5,69.5
4000,QLD,Hybrid,2511, $800-$999, 65-74 years,75,899.5,69.5
4000,QLD,Hybrid,2511," $1,250-$1,499", 35-44 years,219,1374.5,39.5
4000,QLD,Hybrid,2511," $3,000-$3499", 20-24 years,6,3249.5,22.0
4000,QLD,Hybrid,2511, $1-$149, 25-34 years,48,75.0,29.5
4000,QLD,Hybrid,2511," $3,000-$3499", 35-44 years,146,3249.5,39.5
4000,QLD,Hybrid,2511, $650-$799, 25-34 years,628,724.5,29.5
4000,QLD,Hybrid,2511, $150-$299, 45-54 years,41,224.5,49.5
4000,QLD,Hybrid,2511, $300-$399, 85 years and over,8,349.5,85+
4000,QLD,Hybrid,2511," $1,000-$1,249", 85 years and over,11,1124.5,85+
4000,QLD,Hybrid,2511, $300-$399, 15-19 years,141,349.5,17.0
4000,QLD,Hybrid,2511, $400-$499, 45-54 years,56,449.5,49.5
4000,QLD,Hybrid,2511, Total, 35-44 years,3228,0,39.5
4000,QLD,Hybrid,2511," $1,250-$1,499", 65-74 years,57,1374.5,69.5
4000,QLD,Hybrid,2511, $800-$999, 35-44 years,210,899.5,39.5
4000,QLD,Hybrid,2511," $2,000-$2,999", 55-64 years,198,2499.5,59.5
4000,QLD,Hybrid,2511," $3,500 or more", 75-84 years,28,3500+,79.5
4000,QLD,Hybrid,2511, $400-$499, 55-64 years,56,449.5,59.5
4000,QLD,Hybrid,2511," $1,750-$1,999", 20-24 years,29,1874.5,22.0
4000,QLD,Hybrid,2511, $650-$799, 75-84 years,37,724.5,79.5
4000,QLD,Hybrid,2511, $1-$149, 65-74 years,39,75.0,69.5
4000,QLD,Hybrid,2511, $650-$799, 55-64 years,68,724.5,59.5
4000,QLD,Hybrid,2511, $150-$299, 20-24 years,209,224.5,22.0
4000,QLD,Hybrid,2511," $1,250-$1,499", 15-19 years,9,1374.5,17.0
4000,QLD,Hybrid,2511," $1,750-$1,999", 75-84 years,17,1874.5,79.5
4000,QLD,Hybrid,2511, $650-$799, 65-74 years,78,724.5,69.5
4000,QLD,Hybrid,2511, $1-$149, 55-64 years,34,75.0,59.5
4000,QLD,Hybrid,2511, $650-$799, 20-24 years,340,724.5,22.0
4000,QLD,Hybrid,2511," $3,500 or more", 85 years and over,9,3500+,85+
4000,QLD,Hybrid,2511, $1-$149, 35-44 years,40,75.0,39.5
4000,QLD,Hybrid,2511," $1,750-$1,999", 55-64 years,99,1874.5,59.5
4000,QLD,Hybrid,2511," $1,000-$1,249", 75-84 years,29,1124.5,79.5
4000,QLD,Hybrid,2511, $650-$799, 85 years and over,5,724.5,85+
4000,QLD,Hybrid,2511," $3,000-$3499", 45-54 years,105,3249.5,49.5
4000,QLD,Hybrid,2511," $3,500 or more", 45-54 years,301,3500+,49.5
