Postcode,locality,State,Registrations as at 31 January 2022,Population,Total personal income (weekly),Income_Midpoint,Age,Age_Midpoint,Fuel Type
4000,BRISBANE,QLD,2511,1093, Total,0, 15-19 years,17.0,Hybrid
4000,BRISBANE,QLD,2511,3067, Total,0, 20-24 years,22.0,Hybrid
4000,BRISBANE,QLD,2511,6378, Total,0, 25-34 years,29.5,Hybrid
4000,BRISBANE,QLD,2511,3228, Total,0, 35-44 years,39.5,Hybrid
4000,BRISBANE,QLD,2511,2047, Total,0, 45-54 years,49.5,Hybrid
4000,BRISBANE,QLD,2511,1718, Total,0, 55-64 years,59.5,Hybrid
4000,BRISBANE,QLD,2511,1091, Total,0, 65-74 years,69.5,Hybrid
4000,BRISBANE,QLD,2511,421, Total,0, 75-84 years,79.5,Hybrid
4000,BRISBANE,QLD,2511,98, Total,0, 85 years and over,85+,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,6, Total,0, 15-19 years,17.0,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,24, Total,0, 20-24 years,22.0,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,80, Total,0, 25-34 years,29.5,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,70, Total,0, 35-44 years,39.5,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,45, Total,0, 45-54 years,49.5,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,55, Total,0, 55-64 years,59.5,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,42, Total,0, 65-74 years,69.5,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,16, Total,0, 75-84 years,79.5,Hybrid
4008,BRISBANE AIRPORT,QLD,1812,4, Total,0, 85 years and over,85+,Hybrid
3029,HOPPERS CROSSING,VIC,1803,6815, Total,0, 15-19 years,17.0,Hybrid
3029,HOPPERS CROSSING,VIC,1803,8490, Total,0, 20-24 years,22.0,Hybrid
3029,HOPPERS CROSSING,VIC,1803,24770, Total,0, 25-34 years,29.5,Hybrid
3029,HOPPERS CROSSING,VIC,1803,25580, Total,0, 35-44 years,39.5,Hybrid
3029,HOPPERS CROSSING,VIC,1803,12319, Total,0, 45-54 years,49.5,Hybrid
3029,HOPPERS CROSSING,VIC,1803,9079, Total,0, 55-64 years,59.5,Hybrid
3029,HOPPERS CROSSING,VIC,1803,5903, Total,0, 65-74 years,69.5,Hybrid
3029,HOPPERS CROSSING,VIC,1803,2408, Total,0, 75-84 years,79.5,Hybrid
3029,HOPPERS CROSSING,VIC,1803,541, Total,0, 85 years and over,85+,Hybrid
2170,CASULA,NSW,1543,7370, Total,0, 15-19 years,17.0,Hybrid
2170,CASULA,NSW,1543,7819, Total,0, 20-24 years,22.0,Hybrid
2170,CASULA,NSW,1543,17018, Total,0, 25-34 years,29.5,Hybrid
2170,CASULA,NSW,1543,16392, Total,0, 35-44 years,39.5,Hybrid
