Postcode,State_x,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,State_y,Population
4350,QLD,Internal Combustion Engine,87602, Total, 15-19 years, Queensland,7608
4350,QLD,Internal Combustion Engine,87602, Total, 20-24 years, Queensland,7849
4350,QLD,Internal Combustion Engine,87602, Total, 25-34 years, Queensland,15863
4350,QLD,Internal Combustion Engine,87602, Total, 35-44 years, Queensland,13656
4350,QLD,Internal Combustion Engine,87602, Total, 45-54 years, Queensland,13213
4350,QLD,Internal Combustion Engine,87602, Total, 55-64 years, Queensland,12714
4350,QLD,Internal Combustion Engine,87602, Total, 65-74 years, Queensland,11584
4350,QLD,Internal Combustion Engine,87602, Total, 75-84 years, Queensland,7612
4350,QLD,Internal Combustion Engine,87602, Total, 85 years and over, Queensland,3283
4350,QLD,Internal Combustion Engine,87602, Total, Total, Queensland,93382
3029,VIC,Internal Combustion Engine,80997, Total, 15-19 years, Victoria,6815
3029,VIC,Internal Combustion Engine,80997, Total, 20-24 years, Victoria,8490
3029,VIC,Internal Combustion Engine,80997, Total, 25-34 years, Victoria,24770
3029,VIC,Internal Combustion Engine,80997, Total, 35-44 years, Victoria,25580
3029,VIC,Internal Combustion Engine,80997, Total, 45-54 years, Victoria,12319
3029,VIC,Internal Combustion Engine,80997, Total, 55-64 years, Victoria,9079
3029,VIC,Internal Combustion Engine,80997, Total, 65-74 years, Victoria,5903
3029,VIC,Internal Combustion Engine,80997, Total, 75-84 years, Victoria,2408
3029,VIC,Internal Combustion Engine,80997, Total, 85 years and over, Victoria,541
3029,VIC,Internal Combustion Engine,80997, Total, Total, Victoria,95904
3030,VIC,Internal Combustion Engine,77870, Total, 15-19 years, Victoria,6749
3030,VIC,Internal Combustion Engine,77870, Total, 20-24 years, Victoria,6820
3030,VIC,Internal Combustion Engine,77870, Total, 25-34 years, Victoria,18359
3030,VIC,Internal Combustion Engine,77870, Total, 35-44 years, Victoria,22767
3030,VIC,Internal Combustion Engine,77870, Total, 45-54 years, Victoria,14671
3030,VIC,Internal Combustion Engine,77870, Total, 55-64 years, Victoria,9998
3030,VIC,Internal Combustion Engine,77870, Total, 65-74 years, Victoria,6759
3030,VIC,Internal Combustion Engine,77870, Total, 75-84 years, Victoria,3076
3030,VIC,Internal Combustion Engine,77870, Total, 85 years and over, Victoria,1147
3030,VIC,Internal Combustion Engine,77870, Total, Total, Victoria,90342
