Postcode,State,Fuel Type,Registrations as at 31 January 2022,Total personal income (weekly),Age,Population,Income_Midpoint,Age_Midpoint
4350,QLD,Internal Combustion Engine,87602," $1,750-$1,999", 65-74 years,212,1874.5,69.5
4350,QLD,Internal Combustion Engine,87602, Negative/Nil income, 65-74 years,652,0,69.5
4350,QLD,Internal Combustion Engine,87602, $800-$999, 25-34 years,2075,899.5,29.5
4350,QLD,Internal Combustion Engine,87602," $1,000-$1,249", 15-19 years,78,1124.5,17.0
4350,QLD,Internal Combustion Engine,87602, $1-$149, 45-54 years,167,75.0,49.5
4350,QLD,Internal Combustion Engine,87602, $500-$649, 75-84 years,1087,574.5,79.5
4350,QLD,Internal Combustion Engine,87602, $400-$499, 35-44 years,571,449.5,39.5
4350,QLD,Internal Combustion Engine,87602, Total, 25-34 years,15863,0,29.5
4350,QLD,Internal Combustion Engine,87602," $1,750-$1,999", 55-64 years,754,1874.5,59.5
4350,QLD,Internal Combustion Engine,87602," $1,250-$1,499", 55-64 years,967,1374.5,59.5
4350,QLD,Internal Combustion Engine,87602, Negative/Nil income, 15-19 years,2616,0,17.0
4350,QLD,Internal Combustion Engine,87602, $500-$649, 85 years and over,423,574.5,85+
4350,QLD,Internal Combustion Engine,87602," $1,500-$1,749", 20-24 years,277,1624.5,22.0
4350,QLD,Internal Combustion Engine,87602, $650-$799, 45-54 years,936,724.5,49.5
4350,QLD,Internal Combustion Engine,87602, Not stated, 35-44 years,731,0,39.5
4350,QLD,Internal Combustion Engine,87602, $650-$799, 35-44 years,1089,724.5,39.5
4350,QLD,Internal Combustion Engine,87602, Total, 75-84 years,7612,0,79.5
4350,QLD,Internal Combustion Engine,87602, $500-$649, 25-34 years,1095,574.5,29.5
4350,QLD,Internal Combustion Engine,87602, $150-$299, 35-44 years,456,224.5,39.5
4350,QLD,Internal Combustion Engine,87602, Not stated, 85 years and over,509,0,85+
4350,QLD,Internal Combustion Engine,87602, $300-$399, 75-84 years,1582,349.5,79.5
4350,QLD,Internal Combustion Engine,87602, $650-$799, 65-74 years,1015,724.5,69.5
4350,QLD,Internal Combustion Engine,87602," $1,750-$1,999", 85 years and over,14,1874.5,85+
4350,QLD,Internal Combustion Engine,87602, $300-$399, 15-19 years,404,349.5,17.0
4350,QLD,Internal Combustion Engine,87602," $1,500-$1,749", 45-54 years,1125,1624.5,49.5
4350,QLD,Internal Combustion Engine,87602," $3,000-$3499", 25-34 years,134,3249.5,29.5
4350,QLD,Internal Combustion Engine,87602, $1-$149, 20-24 years,182,75.0,22.0
