Fuel Type,Postcode,State,Registrations,Year,Population,Income,Age
ICE,4350,QLD,85839,2021,212,1874.5,69.5
ICE,4350,QLD,85839,2021,652,0,69.5
ICE,4350,QLD,85839,2021,2075,899.5,29.5
ICE,4350,QLD,85839,2021,78,1124.5,17.0
ICE,4350,QLD,85839,2021,167,75.0,49.5
ICE,4350,QLD,85839,2021,1087,574.5,79.5
ICE,4350,QLD,85839,2021,571,449.5,39.5
ICE,4350,QLD,85839,2021,15863,0,29.5
ICE,4350,QLD,85839,2021,754,1874.5,59.5
ICE,4350,QLD,85839,2021,967,1374.5,59.5
ICE,4350,QLD,85839,2021,2616,0,17.0
ICE,4350,QLD,85839,2021,423,574.5,85+
ICE,4350,QLD,85839,2021,277,1624.5,22.0
ICE,4350,QLD,85839,2021,936,724.5,49.5
ICE,4350,QLD,85839,2021,731,0,39.5
ICE,4350,QLD,85839,2021,1089,724.5,39.5
ICE,4350,QLD,85839,2021,7612,0,79.5
ICE,4350,QLD,85839,2021,1095,574.5,29.5
ICE,4350,QLD,85839,2021,456,224.5,39.5
ICE,4350,QLD,85839,2021,509,0,85+
ICE,4350,QLD,85839,2021,1582,349.5,79.5
ICE,4350,QLD,85839,2021,1015,724.5,69.5
ICE,4350,QLD,85839,2021,14,1874.5,85+
ICE,4350,QLD,85839,2021,404,349.5,17.0
ICE,4350,QLD,85839,2021,1125,1624.5,49.5
ICE,4350,QLD,85839,2021,134,3249.5,29.5
ICE,4350,QLD,85839,2021,182,75.0,22.0
ICE,4350,QLD,85839,2021,1174,899.5,59.5
ICE,4350,QLD,85839,2021,354,449.5,17.0
ICE,4350,QLD,85839,2021,18,3249.5,79.5
ICE,4350,QLD,85839,2021,889,349.5,59.5
ICE,4350,QLD,85839,2021,1746,1374.5,29.5
ICE,4350,QLD,85839,2021,474,3500+,49.5
ICE,4350,QLD,85839,2021,296,1624.5,69.5
ICE,4350,QLD,85839,2021,254,1124.5,79.5
ICE,4350,QLD,85839,2021,0,3249.5,17.0
ICE,4350,QLD,85839,2021,724,349.5,29.5
ICE,4350,QLD,85839,2021,797,574.5,49.5
ICE,4350,QLD,85839,2021,1750,75.0,17.0
ICE,4350,QLD,85839,2021,1090,724.5,22.0
