Fuel Type,Postcode,State,Registrations,Year,Average Income,Age
ICE,4350,QLD,85839,2021,748,38
ICE,3030,VIC,77496,2021,863,34
ICE,3029,VIC,76878,2021,812,31
ICE,3977,VIC,74372,2021,804,33
ICE,2170,NSW,71736,2021,644,35
ICE,4740,QLD,70384,2021,882,38
ICE,4670,QLD,65139,2021,614,46
ICE,3064,VIC,63815,2021,688,31
ICE,6210,WA,57190,2021,621,47
ICE,6065,WA,56220,2021,885,36
Hybrid/PHEV,4000,QLD,1655,2021,924,32
Hybrid/PHEV,3029,VIC,1349,2021,812,31
Hybrid/PHEV,2170,NSW,1207,2021,644,35
Hybrid/PHEV,2200,NSW,1103,2021,548,34
Hybrid/PHEV,3030,VIC,980,2021,863,34
Hybrid/PHEV,2000,NSW,976,2021,941,32
Hybrid/PHEV,2020,NSW,957,2021,993,30
Hybrid/PHEV,3064,VIC,948,2021,688,31
Hybrid/PHEV,4008,QLD,905,2021,859,40
Hybrid/PHEV,2150,NSW,889,2021,970,32
BEV,2030,NSW,112,2021,1386,42
BEV,3121,VIC,103,2021,1376,34
BEV,2088,NSW,96,2021,1487,45
BEV,4069,QLD,85,2021,1084,42
BEV,2015,NSW,84,2021,1582,34
BEV,4217,QLD,81,2021,795,44
BEV,3000,VIC,80,2021,768,28
BEV,3101,VIC,79,2021,1120,41
BEV,2000,NSW,76,2021,941,32
BEV,3142,VIC,75,2021,1427,47
ICE,4350,QLD,87602,2022,748,38
ICE,3029,VIC,80997,2022,812,31
ICE,3030,VIC,77870,2022,863,34
ICE,3977,VIC,76288,2022,804,33
ICE,2170,NSW,74941,2022,644,35
ICE,4740,QLD,70852,2022,882,38
ICE,3064,VIC,68464,2022,688,31
ICE,4670,QLD,67075,2022,614,46
ICE,6210,WA,58485,2022,621,47
ICE,6065,WA,57860,2022,885,36
Hybrid/PHEV,4000,QLD,2511,2022,924,32
Hybrid/PHEV,4008,QLD,1812,2022,859,40
Hybrid/PHEV,3029,VIC,1803,2022,812,31
Hybrid/PHEV,2170,NSW,1543,2022,644,35
Hybrid/PHEV,2020,NSW,1430,2022,993,30
Hybrid/PHEV,3064,VIC,1354,2022,688,31
Hybrid/PHEV,3000,VIC,1259,2022,768,28
Hybrid/PHEV,2000,NSW,1215,2022,941,32
Hybrid/PHEV,3175,VIC,1188,2022,597,35
Hybrid/PHEV,4066,QLD,1183,2022,1003,31
BEV,3170,VIC,227,2022,746,40
BEV,4217,QLD,185,2022,795,44
BEV,2113,NSW,180,2022,1013,34
BEV,2030,NSW,179,2022,1386,42
BEV,4069,QLD,176,2022,1084,42
BEV,4006,QLD,169,2022,1168,31
BEV,2088,NSW,169,2022,1487,45
BEV,3030,VIC,163,2022,863,34
BEV,2000,NSW,159,2022,941,32
BEV,2602,ACT,157,2022,1257,36
ICE,4350,QLD,90065,2023,748,38
ICE,3029,VIC,86622,2023,812,31
ICE,3030,VIC,79135,2023,863,34
ICE,3977,VIC,78413,2023,804,33
ICE,2170,NSW,76630,2023,644,35
ICE,3064,VIC,73567,2023,688,31
ICE,4740,QLD,72734,2023,882,38
ICE,4670,QLD,69075,2023,614,46
ICE,6210,WA,59734,2023,621,47
ICE,6065,WA,58597,2023,885,36
Hybrid/PHEV,4000,QLD,2912,2023,924,32
Hybrid/PHEV,4008,QLD,2727,2023,859,40
Hybrid/PHEV,3029,VIC,2478,2023,812,31
Hybrid/PHEV,2020,NSW,2405,2023,993,30
Hybrid/PHEV,2170,NSW,1954,2023,644,35
Hybrid/PHEV,3064,VIC,1905,2023,688,31
Hybrid/PHEV,4350,QLD,1659,2023,748,38
Hybrid/PHEV,3000,VIC,1612,2023,768,28
Hybrid/PHEV,6105,WA,1592,2023,806,35
Hybrid/PHEV,2000,NSW,1571,2023,941,32
BEV,3030,VIC,427,2023,863,34
BEV,2113,NSW,420,2023,1013,34
BEV,2155,NSW,418,2023,1103,35
BEV,4217,QLD,369,2023,795,44
BEV,4069,QLD,350,2023,1084,42
BEV,3029,VIC,344,2023,812,31
BEV,3150,VIC,342,2023,711,43
BEV,2045,NSW,336,2023,996,46
BEV,2153,NSW,335,2023,979,39
BEV,2020,NSW,309,2023,993,30
